
;; Main Menu
MAINMENU_TITLE;OpenVic
MAINMENU_NEW_GAME;New Game
MAINMENU_CONTINUE;Continue
MAINMENU_MULTIPLAYER;Multiplayer
MAINMENU_OPTIONS;Options
MAINMENU_CREDITS;Credits
MAINMENU_EXIT;Exit
MAINMENU_CHECKSUM;Checksum {checksum}

;; Options
OPTIONS_RESET;R
OPTIONS_BACK;X

;; General Tab
OPTIONS_GENERAL;General
OPTIONS_GENERAL_SAVEFORMAT;Savegame Format
OPTIONS_GENERAL_BINARY;Binary
OPTIONS_GENERAL_TEXT;Text
OPTIONS_GENERAL_AUTOSAVE;Autosave Interval
OPTIONS_GENERAL_AUTOSAVE_MONTHLY;Monthly
OPTIONS_GENERAL_AUTOSAVE_BIMONTHLY;Bi-Monthly
OPTIONS_GENERAL_AUTOSAVE_YEARLY;Yearly
OPTIONS_GENERAL_AUTOSAVE_BIYEARLY;Bi-Yearly
OPTIONS_GENERAL_AUTOSAVE_NEVER;Never
OPTIONS_GENERAL_LANGUAGE;Language

;; Video Tab
OPTIONS_VIDEO;Video

OPTIONS_VIDEO_RESOLUTION;Resolution
OPTIONS_VIDEO_RESOLUTION_DIMS;{width}x{height}
OPTIONS_VIDEO_RESOLUTION_DIMS_DEFAULT;{width}x{height} (Default)
OPTIONS_VIDEO_RESOLUTION_DIMS_NAMED;{width}x{height} ({name})
OPTIONS_VIDEO_RESOLUTION_DIMS_NAMED_DEFAULT;{width}x{height} ({name}, Default)

OPTIONS_VIDEO_RESOLUTION_3840x2160;4K
OPTIONS_VIDEO_RESOLUTION_2560x1080;UW1080p
OPTIONS_VIDEO_RESOLUTION_1920x1080;1080p
OPTIONS_VIDEO_RESOLUTION_1280x720;720p

OPTIONS_VIDEO_SCREEN_MODE;Screen Mode
OPTIONS_VIDEO_FULLSCREEN;Fullscreen
OPTIONS_VIDEO_BORDERLESS;Borderless
OPTIONS_VIDEO_WINDOWED;Windowed

OPTIONS_VIDEO_MONITOR_SELECTION;Monitor Selection
OPTIONS_VIDEO_MONITOR;Monitor {index}

OPTIONS_VIDEO_REFRESH_RATE;Refresh Rate
OPTIONS_VIDEO_REFRESH_RATE_TOOLTIP;Only change from VSYNC if you are having issues with screen tearing.

OPTIONS_VIDEO_QUALITY;Quality Preset
OPTIONS_VIDEO_QUALITY_LOW;Low
OPTIONS_VIDEO_QUALITY_MEDIUM;Medium
OPTIONS_VIDEO_QUALITY_HIGH;High
OPTIONS_VIDEO_QUALITY_ULTRA;Ultra
OPTIONS_VIDEO_QUALITY_CUSTOM;Custom

OPTIONS_VIDEO_GUI_SCALE;Gui Scaling Factor

OPTIONS_VIDEO_REVERT_DIALOG_TITLE;Keep Video Changes?
OPTIONS_VIDEO_REVERT_DIALOG_TEXT;Reverting changes in {time} seconds...

;; Sound Tab
OPTIONS_SOUND;Sound
MASTER_BUS;Master Volume
MUSIC_BUS;Music Volume
SFX_BUS;SFX Volume
OPTIONS_SOUND_EXPLODE_EARS;Explode Eardrums on Startup?

OPTIONS_CONTROLS;Controls
OPTIONS_OTHER;Other

;; Credits Menu
CREDITS_BACK;Back to Main Menu

;; Game Lobby
GAMELOBBY_START;Start Game
GAMELOBBY_BACK;Back
GAMELOBBY_SESSION_TAG;Session Tag
GAMELOBBY_SELECT_ALL;All
GAMELOBBY_DELETE_DIALOG_TITLE;Delete {file_name}
GAMELOBBY_DELETE_DIALOG_TEXT;Are you sure you want to delete {file_name}?
GAMELOBBY_SESSIONTAG_DIALOG_TITLE;Override {session_tag}
GAMELOBBY_SESSIONTAG_DIALOG_TEXT;Are you want to override {session_tag} as a previous session?

;; Game Session Menu
GAMESESSIONMENU_SAVE;Save Game
GAMESESSIONMENU_LOAD;Load Game
GAMESESSIONMENU_OPTIONS;Options
GAMESESSIONMENU_MAINMENU;Resign
GAMESESSIONMENU_QUIT;Quit
GAMESESSIONMENU_CLOSE;Close

GAMESESSIONMENU_MAINMENU_DIALOG_TITLE;Resign Game
GAMESESSIONMENU_MAINMENU_DIALOG_TEXT;Are you sure you want to resign and return to the main menu?
GAMESESSIONMENU_QUIT_DIALOG_TITLE;Quit Game
GAMESESSIONMENU_QUIT_DIALOG_TEXT;Are you sure you want to quit and return to desktop?

;; Save Load Menu
SAVELOADMENU_SAVE_TITLE;Save Menu
SAVELOADMENU_LOAD_TITLE;Load Menu
SAVELOADMENU_SAVE_BUTTON;Save
SAVELOADMENU_LOAD_BUTTON;Load

SAVELOADMENU_DELETE_DIALOG_TITLE;Delete {file_name}
SAVELOADMENU_DELETE_DIALOG_TEXT;Are you sure you want to delete {file_name}?
SAVELOADMENU_OVERWRITE_DIALOG_TITLE;Overwrite {file_name}
SAVELOADMENU_OVERWRITE_DIALOG_TEXT;Are you want to overwrite {file_name}?

SAVELOADMENU_SESSION;Session:

SAVELOADMENU_TABSELECTIONTABBAR_ALL;All

DIALOG_OK;OK
DIALOG_CANCEL;Cancel
DIALOG_SAVE_AND_RESIGN;Save and Resign
DIALOG_SAVE_AND_QUIT;Save and Quit

;; Province Overview Panel
province_MISSING;No Province
region_MISSING;No Region
LIFE_RATING_TOOLTIP;Liferating: {life_rating}
total_population_MISSING;No Population
PROVINCE_POPULATION_TOOLTIP;Province population
rgo_MISSING;No RGO
building_MISSING;No Building
building_fort;Fort
building_naval_base;Naval Base
building_railroad;Railroad
EXPAND_PROVINCE_BUILDING;Expand
