
,, Main Menu
MAINMENU_TITLE,OpenVic2
MAINMENU_NEW_GAME,New Game
MAINMENU_CONTINUE,Continue
MAINMENU_MULTIPLAYER,Multiplayer
MAINMENU_OPTIONS,Options
MAINMENU_CREDITS,Credits
MAINMENU_EXIT,Exit
MAINMENU_CHECKSUM,Checksum %s

,, Options
OPTIONS_RESET,R
OPTIONS_BACK,X

,, General Tab
OPTIONS_GENERAL_SAVEFORMAT,Savegame Format
OPTIONS_GENERAL_BINARY,Binary
OPTIONS_GENERAL_TEXT,Text
OPTIONS_GENERAL_AUTOSAVE,Autosave Interval
OPTIONS_GENERAL_AUTOSAVE_MONTHLY,Monthly
OPTIONS_GENERAL_AUTOSAVE_BIMONTHLY,Bi-Monthly
OPTIONS_GENERAL_AUTOSAVE_YEARLY,Yearly
OPTIONS_GENERAL_AUTOSAVE_BIYEARLY,Bi-Yearly
OPTIONS_GENERAL_AUTOSAVE_NEVER,Never
OPTIONS_GENERAL_LANGUAGE,Language

,, Video Tab
OPTIONS_VIDEO_RESOLUTION,Resolution
OPTIONS_VIDEO_SCREEN_MODE,Screen Mode
OPTIONS_VIDEO_FULLSCREEN,Fullscreen
OPTIONS_VIDEO_BORDERLESS,Borderless
OPTIONS_VIDEO_WINDOWED,Windowed
OPTIONS_VIDEO_MONITOR_SELECTION,Monitor Selection
OPTIONS_VIDEO_REFRESH_RATE,Refresh Rate
OPTIONS_VIDEO_REFRESH_RATE_TOOLTIP,Only change from VSYNC if you are having issues with screen tearing.
OPTIONS_VIDEO_QUALITY,Quality Preset

,, Sound Tab
MASTER_BUS,Master Volume
MUSIC_BUS,Music Volume
SFX_BUS,SFX Volume

,, Credits Menu
CREDITS_BACK,Back to Main Menu

,, Game Lobby
GAMELOBBY_START,Start Game
GAMELOBBY_BACK,Back

,, Game Session Menu
GAMESESSIONMENU_SAVE,Save Game
GAMESESSIONMENU_LOAD,Load Game
GAMESESSIONMENU_OPTIONS,Options
GAMESESSIONMENU_MAINMENU,Resign
GAMESESSIONMENU_QUIT,Quit
GAMESESSIONMENU_CLOSE,Close
