
,, Main Menu
MAINMENU_TITLE,OpenVic
MAINMENU_NEW_GAME,Nouveau Jeu
MAINMENU_CONTINUE,Continuer
MAINMENU_MULTIPLAYER,Multijouer
MAINMENU_OPTIONS,Options
MAINMENU_CREDITS,Credits
MAINMENU_EXIT,Quitter
MAINMENU_CHECKSUM,Somme de contrôle {checksum}

,, Options
OPTIONS_RESET,R
OPTIONS_BACK,X

,, General Tab
OPTIONS_GENERAL_SAVEFORMAT,Format de Sauvegarde
OPTIONS_GENERAL_BINARY,Binaire
OPTIONS_GENERAL_TEXT,Texte
OPTIONS_GENERAL_AUTOSAVE,Intervalle d'Enregistrement Automatique
OPTIONS_GENERAL_AUTOSAVE_MONTHLY,Mensuel
OPTIONS_GENERAL_AUTOSAVE_BIMONTHLY,Bimensuel
OPTIONS_GENERAL_AUTOSAVE_YEARLY,Annuel
OPTIONS_GENERAL_AUTOSAVE_BIYEARLY,Bisannuel
OPTIONS_GENERAL_AUTOSAVE_NEVER,Jamais
OPTIONS_GENERAL_LANGUAGE,Langue

,, Video Tab
OPTIONS_VIDEO_RESOLUTION,Résolution
OPTIONS_VIDEO_SCREEN_MODE,Mode Écran
OPTIONS_VIDEO_FULLSCREEN,Plein Écran
OPTIONS_VIDEO_BORDERLESS,Sans Bordure
OPTIONS_VIDEO_WINDOWED,Fenêtré
OPTIONS_VIDEO_MONITOR_SELECTION,Sélection du Moniteur
OPTIONS_VIDEO_REFRESH_RATE,Taux de Rafraîchissement
OPTIONS_VIDEO_REFRESH_RATE_TOOLTIP,Ne changez de VSYNC que si vous rencontrez des problèmes de déchirement d'écran.
OPTIONS_VIDEO_QUALITY,Préréglage de la Qualité
OPTIONS_VIDEO_GUI_SCALE,Mise à échelle de l'Interface Graphique

,, Sound Tab
MASTER_BUS,Volume Principal
MUSIC_BUS,Volume de la Musique
SFX_BUS,Volume d'Effets Spéciaux

,, Credits Menu
CREDITS_BACK,Retour au Menu Principal

,, Game Lobby
GAMELOBBY_START,Démarrer Jeu
GAMELOBBY_BACK,Retourner

,, Game Session Menu
GAMESESSIONMENU_SAVE,Sauvegarder la Partie
GAMESESSIONMENU_LOAD,Charger la Partie
GAMESESSIONMENU_OPTIONS,Options
GAMESESSIONMENU_MAINMENU,Démissionner
GAMESESSIONMENU_QUIT,Quitter
GAMESESSIONMENU_CLOSE,Fermer
